vel=[[[[100, 100, 100], [100, 100, 100], [100, 100, 100]],
  [[40, 50, 54, 56], [41, 47, 53, 56], [40, 49, 52, 60]],
  [[42, 47, 53, 57], [44, 46, 55, 58], [40, 46, 53, 56]],
  [[41, 46, 55, 56], [43, 49, 52, 58], [41, 47, 55, 60]],
  [[41, 50, 51, 58], [42, 49, 51, 59], [44, 50, 51, 59]],
  [[43, 47, 53, 59], [42, 50, 52, 60], [41, 50, 52, 58]],
  [[43, 50, 54, 59], [44, 48, 55, 58], [42, 47, 53, 57]],
  [[42, 47, 54, 59], [40, 50, 54, 60], [41, 46, 51, 57]],
  [[45, 47, 51, 60], [40, 47, 51, 60], [45, 49, 53, 56]],
  [[44, 46, 51, 59], [44, 48, 54, 57], [45, 47, 53, 56]]],
 [[[40, 50, 54, 56], [41, 47, 53, 56], [40, 49, 52, 60]],
  [[100, 100, 100], [100, 100, 100], [100, 100, 100]],
  [[40, 48, 55, 60], [40, 46, 53, 57], [43, 49, 51, 60]],
  [[41, 50, 53, 58], [45, 49, 52, 57], [42, 50, 53, 60]],
  [[42, 48, 55, 56], [45, 47, 55, 58], [45, 50, 53, 56]],
  [[41, 50, 55, 60], [42, 47, 55, 57], [43, 47, 55, 58]],
  [[44, 47, 54, 58], [45, 48, 55, 56], [40, 48, 54, 59]],
  [[43, 48, 51, 57], [41, 48, 55, 59], [42, 46, 55, 59]],
  [[41, 49, 51, 56], [42, 50, 54, 57], [45, 50, 53, 58]],
  [[41, 49, 52, 59], [42, 48, 52, 57], [41, 50, 55, 58]]],
 [[[42, 47, 53, 57], [44, 46, 55, 58], [40, 46, 53, 56]],
  [[40, 48, 55, 60], [40, 46, 53, 57], [43, 49, 51, 60]],
  [[100, 100, 100], [100, 100, 100], [100, 100, 100]],
  [[43, 48, 51, 57], [41, 46, 54, 56], [40, 48, 53, 59]],
  [[41, 47, 52, 57], [43, 47, 55, 58], [45, 47, 55, 60]],
  [[41, 48, 52, 56], [45, 49, 54, 56], [44, 48, 52, 59]],
  [[44, 50, 51, 59], [45, 50, 53, 60], [41, 48, 51, 59]],
  [[42, 50, 51, 60], [43, 49, 51, 60], [43, 49, 52, 56]],
  [[41, 46, 54, 59], [42, 47, 51, 60], [43, 46, 55, 58]],
  [[45, 48, 53, 56], [41, 49, 51, 58], [41, 46, 51, 57]]],
 [[[41, 46, 55, 56], [43, 49, 52, 58], [41, 47, 55, 60]],
  [[41, 50, 53, 58], [45, 49, 52, 57], [42, 50, 53, 60]],
  [[43, 48, 51, 57], [41, 46, 54, 56], [40, 48, 53, 59]],
  [[100, 100, 100], [100, 100, 100], [100, 100, 100]],
  [[42, 46, 52, 59], [41, 46, 51, 59], [44, 49, 55, 59]],
  [[43, 48, 53, 57], [43, 50, 53, 58], [43, 47, 53, 56]],
  [[43, 46, 53, 58], [43, 48, 52, 58], [42, 47, 55, 59]],
  [[42, 46, 55, 58], [44, 46, 53, 60], [44, 47, 52, 59]],
  [[42, 48, 53, 59], [43, 49, 52, 57], [41, 47, 53, 57]],
  [[41, 47, 52, 60], [42, 48, 52, 58], [44, 46, 52, 56]]],
 [[[41, 50, 51, 58], [42, 49, 51, 59], [44, 50, 51, 59]],
  [[42, 48, 55, 56], [45, 47, 55, 58], [45, 50, 53, 56]],
  [[41, 47, 52, 57], [43, 47, 55, 58], [45, 47, 55, 60]],
  [[42, 46, 52, 59], [41, 46, 51, 59], [44, 49, 55, 59]],
  [[100, 100, 100], [100, 100, 100], [100, 100, 100]],
  [[42, 50, 53, 56], [43, 46, 54, 60], [45, 46, 55, 58]],
  [[45, 47, 52, 56], [44, 48, 51, 56], [45, 49, 51, 58]],
  [[44, 46, 52, 56], [42, 46, 52, 58], [40, 49, 55, 60]],
  [[40, 50, 51, 59], [45, 50, 55, 57], [41, 48, 52, 58]],
  [[45, 46, 51, 57], [43, 47, 53, 56], [40, 48, 52, 56]]],
 [[[43, 47, 53, 59], [42, 50, 52, 60], [41, 50, 52, 58]],
  [[41, 50, 55, 60], [42, 47, 55, 57], [43, 47, 55, 58]],
  [[41, 48, 52, 56], [45, 49, 54, 56], [44, 48, 52, 59]],
  [[43, 48, 53, 57], [43, 50, 53, 58], [43, 47, 53, 56]],
  [[42, 50, 53, 56], [43, 46, 54, 60], [45, 46, 55, 58]],
  [[100, 100, 100], [100, 100, 100], [100, 100, 100]],
  [[43, 47, 54, 60], [41, 47, 51, 59], [42, 46, 54, 58]],
  [[43, 50, 52, 56], [41, 49, 55, 56], [42, 47, 52, 59]],
  [[43, 47, 53, 59], [45, 48, 51, 56], [45, 47, 53, 60]],
  [[43, 49, 55, 59], [42, 50, 52, 58], [43, 48, 53, 59]]],
 [[[43, 50, 54, 59], [44, 48, 55, 58], [42, 47, 53, 57]],
  [[44, 47, 54, 58], [45, 48, 55, 56], [40, 48, 54, 59]],
  [[44, 50, 51, 59], [45, 50, 53, 60], [41, 48, 51, 59]],
  [[43, 46, 53, 58], [43, 48, 52, 58], [42, 47, 55, 59]],
  [[45, 47, 52, 56], [44, 48, 51, 56], [45, 49, 51, 58]],
  [[43, 47, 54, 60], [41, 47, 51, 59], [42, 46, 54, 58]],
  [[100, 100, 100], [100, 100, 100], [100, 100, 100]],
  [[42, 46, 53, 59], [44, 48, 51, 58], [42, 47, 54, 56]],
  [[44, 46, 54, 57], [44, 50, 54, 59], [40, 46, 53, 58]],
  [[42, 48, 52, 58], [41, 49, 55, 60], [44, 47, 53, 59]]],
 [[[42, 47, 54, 59], [40, 50, 54, 60], [41, 46, 51, 57]],
  [[43, 48, 51, 57], [41, 48, 55, 59], [42, 46, 55, 59]],
  [[42, 50, 51, 60], [43, 49, 51, 60], [43, 49, 52, 56]],
  [[42, 46, 55, 58], [44, 46, 53, 60], [44, 47, 52, 59]],
  [[44, 46, 52, 56], [42, 46, 52, 58], [40, 49, 55, 60]],
  [[43, 50, 52, 56], [41, 49, 55, 56], [42, 47, 52, 59]],
  [[42, 46, 53, 59], [44, 48, 51, 58], [42, 47, 54, 56]],
  [[100, 100, 100], [100, 100, 100], [100, 100, 100]],
  [[40, 48, 55, 59], [45, 49, 52, 58], [41, 46, 53, 56]],
  [[44, 47, 54, 57], [43, 49, 53, 57], [42, 49, 51, 57]]],
 [[[45, 47, 51, 60], [40, 47, 51, 60], [45, 49, 53, 56]],
  [[41, 49, 51, 56], [42, 50, 54, 57], [45, 50, 53, 58]],
  [[41, 46, 54, 59], [42, 47, 51, 60], [43, 46, 55, 58]],
  [[42, 48, 53, 59], [43, 49, 52, 57], [41, 47, 53, 57]],
  [[40, 50, 51, 59], [45, 50, 55, 57], [41, 48, 52, 58]],
  [[43, 47, 53, 59], [45, 48, 51, 56], [45, 47, 53, 60]],
  [[44, 46, 54, 57], [44, 50, 54, 59], [40, 46, 53, 58]],
  [[40, 48, 55, 59], [45, 49, 52, 58], [41, 46, 53, 56]],
  [[100, 100, 100], [100, 100, 100], [100, 100, 100]],
  [[41, 46, 53, 60], [43, 46, 52, 60], [43, 48, 53, 59]]],
 [[[44, 46, 51, 59], [44, 48, 54, 57], [45, 47, 53, 56]],
  [[41, 49, 52, 59], [42, 48, 52, 57], [41, 50, 55, 58]],
  [[45, 48, 53, 56], [41, 49, 51, 58], [41, 46, 51, 57]],
  [[41, 47, 52, 60], [42, 48, 52, 58], [44, 46, 52, 56]],
  [[45, 46, 51, 57], [43, 47, 53, 56], [40, 48, 52, 56]],
  [[43, 49, 55, 59], [42, 50, 52, 58], [43, 48, 53, 59]],
  [[42, 48, 52, 58], [41, 49, 55, 60], [44, 47, 53, 59]],
  [[44, 47, 54, 57], [43, 49, 53, 57], [42, 49, 51, 57]],
  [[41, 46, 53, 60], [43, 46, 52, 60], [43, 48, 53, 59]],
  [[100, 100, 100], [100, 100, 100], [100, 100, 100]]]];
